kic,label,period,t0,duration,transit_depth,snr,filename,index_in_batch
10031656,1,8.59004,131.9688,6.2875,299.0,18.0,batch_2.npz,16
10358759,1,10.338082,170.4151,3.6485,1166.0,50.4,batch_2.npz,17
5876368,1,0.52542651,133.18698,1.1461,356.0,73.0,batch_2.npz,18
10724369,1,55.63765,187.5588,6.9979,863.0,55.0,batch_2.npz,19
9084778,1,0.59224443,131.6536,1.0979,4127.0,341.0,batch_2.npz,20
7815931,1,1.8685565,132.5153,1.1811,225.0,22.1,batch_2.npz,21
9844088,1,3.7508299,171.15118,1.9921,2435.0,251.3,batch_2.npz,22
6677256,1,3.1258091,356.413,1.9158,240.0,33.3,batch_2.npz,23
11125936,1,1.33610946,178.25793,1.3584,2228.0,179.9,batch_2.npz,24
7046804,1,11.7201189,142.17341,2.9425,9698.0,961.8,batch_2.npz,25
10094670,1,22.0641,148.9152,3.5642,393.0,37.9,batch_2.npz,26
1871056,1,140.0914,216.245,18.3036,182.0,23.2,batch_2.npz,27
7428316,1,7.126783,137.4304,3.7318,164.0,17.9,batch_2.npz,28
8804397,1,60.08556,153.2564,6.7266,434.0,50.4,batch_2.npz,29
6307083,1,75.3781,167.113,5.1315,314.0,35.8,batch_2.npz,30
12020218,1,21.35913,135.0649,6.1108,622.0,34.7,batch_2.npz,31
10464078,1,19.403919,172.48461,9.9632,10442.0,351.4,batch_2.npz,32
6312534,1,1.5077614,132.94182,2.2302,6910.0,559.9,batch_2.npz,33
9468717,1,7.373379,134.0107,2.1008,115.0,38.6,batch_2.npz,34
9301506,1,0.3026108,131.7568,0.9711,189.0,25.1,batch_2.npz,35
9958962,1,25.53327,147.616,4.2031,340.0,29.1,batch_2.npz,36
6345732,1,20.26427,135.2796,4.4622,189.0,21.1,batch_2.npz,37
7102227,1,36.77019,164.2959,4.3302,1381.0,47.6,batch_2.npz,38
6699368,1,3.690317,131.5416,1.0793,444.0,55.7,batch_2.npz,39
3217264,1,160.0172,251.2846,5.643,1585.0,59.4,batch_2.npz,40
7967861,1,215.145,171.942,11.7248,195.0,5.6,batch_2.npz,41
10216045,1,16.88954693,183.15557,3.4113,9.0,0.6,batch_2.npz,42
12885212,1,2.0575069,133.3102,2.481,449.0,28.7,batch_2.npz,43
8330548,1,1.9141577,134.6443,2.9175,8807.0,256.9,batch_2.npz,44
9518318,1,23.85136,147.6167,2.6399,845.0,34.7,batch_2.npz,45
9366989,1,1.21903358,132.09973,2.03,10870.0,361.7,batch_2.npz,46
5308387,1,0.6207406,132.101,1.7297,101.0,36.7,batch_2.npz,47
8552498,1,0.53096754,133.84843,2.3412,216.0,134.7,batch_2.npz,48
9115800,1,4.4541913,172.819591,2.3071,16107.0,1363.9,batch_2.npz,49
10158990,1,1.0965841,133.6136,2.0671,306.0,44.8,batch_3.npz,0
3119256,1,4.142435,132.9066,2.5929,65.0,20.7,batch_3.npz,1
4945877,1,1.339665,132.1682,1.9264,28.0,38.0,batch_3.npz,2
6627507,1,7.374518,131.5611,3.3859,460.0,74.6,batch_3.npz,3
10674871,1,41.88971,171.999,1.7015,1182.0,32.9,batch_3.npz,4
6863839,1,1.9263586,133.6774,2.5499,184.0,36.9,batch_3.npz,5
4761060,1,13.379424,140.9234,6.9758,381.0,72.3,batch_3.npz,6
8607720,1,3.9978,261.7172,4.017,64.0,8.0,batch_3.npz,7
9150827,1,82.3721,208.421,6.3482,206.0,1.2,batch_3.npz,8
3336283,1,0.5764377,131.6883,2.0822,64.0,24.7,batch_3.npz,9
9570741,1,15.77955,175.9736,3.9971,563.0,43.6,batch_3.npz,10
4847782,1,30.95978,139.4373,2.8668,451.0,12.7,batch_3.npz,11
7770450,1,1.1578068,354.74335,2.6283,910.0,93.0,batch_3.npz,12
8192911,1,7.538885,135.3292,3.0899,425.0,17.5,batch_3.npz,13
9277210,1,4.94440412,132.76805,17.5425,24.0,13.7,batch_3.npz,14
3228959,1,0.7309,133.685,2.8862,223.0,34.8,batch_3.npz,15
8243283,1,1.759262,132.0742,2.3091,190.0,16.6,batch_3.npz,16
12366681,1,13.33387,263.789,6.5149,5.0,3.6,batch_3.npz,17
10812504,1,4.42968,133.1491,1.9611,201.0,3.2,batch_3.npz,18
8142942,1,5.756239,133.9029,1.0557,582.0,60.0,batch_3.npz,19
5816811,1,2.2277177,134.452,3.5686,2450.0,352.2,batch_3.npz,20
9162741,1,1.3686106,169.9527,1.6712,137.0,54.4,batch_3.npz,21
7296086,1,0.8907361,134.56614,1.3064,222.0,46.7,batch_3.npz,22
9366886,1,0.6335112,131.5647,1.3143,180.0,25.1,batch_3.npz,23
7838655,1,2.1132007,356.32839,2.4998,3051.0,298.9,batch_3.npz,24
8495415,1,11.08487,355.0392,1.9722,812.0,20.0,batch_3.npz,25
11913013,1,3.747802,355.3136,4.0261,6002.0,51.5,batch_3.npz,26
8558011,1,0.638154,131.7501,0.957,123.0,20.5,batch_3.npz,27
12643589,1,44.146094,211.53131,3.9103,3659.0,172.0,batch_3.npz,28
10876237,1,1.4659394,132.3297,1.3298,47.0,15.2,batch_3.npz,29
7377033,1,1.9568102,170.69388,2.1714,25313.0,978.0,batch_3.npz,30
10289119,1,16.10519,135.0005,6.1523,143.0,28.2,batch_3.npz,31
3233043,1,7.76967,133.09,4.7387,307.0,43.1,batch_3.npz,32
6685609,1,3.071563,133.3015,4.0809,92.0,25.1,batch_3.npz,33
11455491,1,6.142826,135.1622,4.718,137.0,42.8,batch_3.npz,34
3747262,1,1.3124652,132.2214,1.4817,43.0,18.8,batch_3.npz,35
6681233,1,32.63286247,177.22208,3.0758,41.0,1.7,batch_3.npz,36
6312314,1,1.221198,133.6119,1.8688,116.0,27.0,batch_3.npz,37
10407221,1,0.9337378,131.5208,4.9092,413.0,79.8,batch_3.npz,38
10485069,1,0.4452773,133.5227,2.0178,174.0,34.2,batch_3.npz,39
3644653,1,119.6817,176.117,5.6664,768.0,9.6,batch_3.npz,40
11761199,1,213.616643,141.64297,10.6307,123561.0,1990.8,batch_3.npz,41
8611832,1,22.59848,140.401,6.3434,166.0,26.2,batch_3.npz,42
9899181,1,1.3325472,132.0592,3.1847,28.0,23.4,batch_3.npz,43
6692833,1,10.80491,134.0944,2.9164,291.0,29.5,batch_3.npz,44
3228824,1,0.7309384,355.902,2.6613,530.0,53.7,batch_3.npz,45
10879656,1,0.3648612,132.0693,1.6677,124.0,28.8,batch_3.npz,46
8017703,1,44.00045,210.7593,5.2485,614.0,43.2,batch_3.npz,47
12470954,1,5.40534,131.8514,2.3245,117.0,5.4,batch_3.npz,48
6975615,1,2.0653504,133.1553,2.703,194.0,27.9,batch_3.npz,49
11255231,1,13.65517,137.5223,4.2684,215.0,16.1,batch_4.npz,0
2166206,1,8.096956,140.7412,2.5778,503.0,79.4,batch_4.npz,1
9692557,1,0.5719394,131.71487,1.0462,76.0,41.1,batch_4.npz,2
8892721,1,61.49075,163.6365,7.5329,3197.0,67.4,batch_4.npz,3
9159275,1,3.0447784,172.01896,6.8073,1798.0,239.4,batch_4.npz,4
3438975,1,2.9760145,171.66,4.0275,119.0,71.8,batch_4.npz,5
9053112,1,1.2748374,169.8738,6.3516,255.0,109.5,batch_4.npz,6
10858691,1,5.914256,133.4897,2.5635,247.0,17.0,batch_4.npz,7
6185496,1,0.474627,131.5439,1.0418,325.0,31.6,batch_4.npz,8
6768394,1,8.91935,140.0651,4.4059,196.0,33.6,batch_4.npz,9
10485250,1,16.469814,180.88179,9.439,11974.0,508.3,batch_4.npz,10
3130548,1,0.8788532,131.495,1.0875,314.0,29.4,batch_4.npz,11
8620565,1,0.7820455,134.02072,1.4911,15962.0,283.6,batch_4.npz,12
6422367,1,4.331346,173.7013,2.9318,223.0,25.2,batch_4.npz,13
3851130,1,2.6979068,133.6506,2.3689,122.0,36.2,batch_4.npz,14
3859363,1,1.5685982,131.6375,3.0018,321.0,34.3,batch_4.npz,15
2306756,1,386.60243,166.34219,6.8093,25086.0,1284.0,batch_4.npz,16
5108214,1,2.119128,132.5824,4.8907,45.0,15.1,batch_4.npz,17
3557493,1,0.3937265,133.30988,2.2231,480.0,80.4,batch_4.npz,18
9850893,1,8.48152,135.8044,6.0311,215.0,29.0,batch_4.npz,19
2438070,1,2.4429432,171.09694,2.9819,967.0,236.2,batch_4.npz,20
6468337,1,0.9598524,131.85093,2.0665,60.0,56.9,batch_4.npz,21
9595686,1,3.1082511,170.24404,2.5337,1880.0,173.7,batch_4.npz,22
5695904,1,0.42385469,132.18983,1.0099,240.0,35.1,batch_4.npz,23
5980208,1,0.7891622,131.5039,0.9263,236.0,29.6,batch_4.npz,24
11673674,1,4.6187664,133.386,5.5697,4971.0,1143.8,batch_4.npz,25
12121470,1,1.8773533,132.2645,1.8037,240.0,30.6,batch_4.npz,26
10031707,1,8.589686,132.014,6.5601,440.0,95.8,batch_4.npz,27
3547091,1,3.3055785,180.68055,2.0685,19199.0,292.1,batch_4.npz,28
9166870,1,3.8556,170.67875,2.9669,1206.0,122.4,batch_4.npz,29
10858691,1,1.796311,133.3352,1.7837,205.0,24.2,batch_4.npz,30
5982368,1,19.56309,369.1121,5.6756,5762.0,377.1,batch_4.npz,31
7366258,1,51.53005,174.1215,6.4115,3603.0,153.1,batch_4.npz,32
10489525,1,1.6122513,131.85045,3.0177,409.0,197.6,batch_4.npz,33
10549562,1,9.089381,139.0825,4.5814,926.0,107.0,batch_4.npz,34
8703884,1,14.17098,359.82915,3.5589,2912.0,130.1,batch_4.npz,35
10964440,1,19.12962,139.4344,3.4561,460.0,35.4,batch_4.npz,36
5428668,1,0.703399,131.65904,0.8271,414.0,24.8,batch_4.npz,37
3247396,1,8.811135,136.4533,3.9481,386.0,80.7,batch_4.npz,38
7336093,1,4.4040248,134.00341,2.4108,58.0,4.9,batch_4.npz,39
11100657,1,8.3441048,361.83848,1.8944,10803.0,232.3,batch_4.npz,40
4848424,1,1.501769,131.5643,3.377,113.0,20.9,batch_4.npz,41
4858610,1,2.722851,131.9153,2.5988,167.0,17.6,batch_4.npz,42
10544677,1,19.7357,138.5728,3.9369,240.0,16.4,batch_4.npz,43
6066416,1,1.30386393,134.20966,2.9454,176.0,183.9,batch_4.npz,44
10031500,1,8.58986,131.994,4.1687,312.0,15.1,batch_4.npz,45
8262210,1,1.6130154,178.5219,3.0781,158.0,31.3,batch_4.npz,46
4077901,1,12.10932,140.7647,8.3725,135.0,33.2,batch_4.npz,47
10407054,1,0.9337564,132.4432,4.3757,86.0,53.3,batch_4.npz,48
2576197,1,2.217029,171.697,2.6593,591.0,66.4,batch_4.npz,49
6678383,1,103.627,426.373,6.889,56.0,3.0,batch_5.npz,0
6780158,1,2.464183,131.9167,1.921,74.0,21.3,batch_5.npz,1
8937021,1,5.663616,133.89017,1.6285,2062.0,94.6,batch_5.npz,2
3098184,1,15.23928,369.561,12.7321,16447.0,155.9,batch_5.npz,3
3235672,1,6.72108,134.778,7.4645,93.0,6.0,batch_5.npz,4
8823426,1,1.5065044,178.18532,3.1726,772.0,94.1,batch_5.npz,5
11391667,1,1.08373681,134.13624,1.4942,8958.0,346.8,batch_5.npz,6
12833566,1,0.537844,131.5823,1.6092,21.0,11.2,batch_5.npz,7
7840044,1,13.542027,171.0979,3.2142,283.0,24.2,batch_5.npz,8
8244190,1,1.0920693,133.1925,1.7717,224.0,51.1,batch_5.npz,9
10843203,1,4.4296322,355.14348,2.6449,4822.0,202.7,batch_5.npz,10
11100670,1,20.23381,141.3922,3.8265,318.0,20.7,batch_5.npz,11
8008067,1,7.305685,131.7801,1.5557,218.0,31.8,batch_5.npz,12
8111919,1,1.6649821,131.6832,1.412,251.0,61.6,batch_5.npz,13
10934313,1,1.926891,131.6305,1.2821,157.0,16.4,batch_5.npz,14
8460600,1,6.35208972,134.20627,3.8651,79749.0,4594.1,batch_5.npz,15
3348082,1,3.982164,135.5266,2.2589,452.0,32.8,batch_5.npz,16
8560285,1,85.34088,386.21109,10.5934,43580.0,1377.7,batch_5.npz,17
6964159,1,25.50388,139.3566,3.5764,194.0,12.9,batch_5.npz,18
7812179,1,17.79441,169.59511,2.9859,1705.0,128.6,batch_5.npz,19
4180401,1,15.412528,144.9791,2.9439,786.0,35.2,batch_5.npz,20
4381282,1,0.497585,131.6555,1.3594,180.0,19.2,batch_5.npz,21
11551715,1,225.568,262.511,6.3127,456.0,6.4,batch_5.npz,22
8846163,1,26.77891391,186.20963,3.1249,40.0,3.9,batch_5.npz,23
3446451,1,0.64234826,131.91048,1.4482,258.0,188.1,batch_5.npz,24
6545051,1,1.995645,132.8635,4.6735,229.0,23.8,batch_5.npz,25
10676923,1,1.0310952,133.9381,2.1446,343.0,53.1,batch_5.npz,26
3858824,1,25.95365,154.845,9.9002,1660.0,69.0,batch_5.npz,27
10614012,1,132.1405,149.1599,25.9754,6562.0,1657.4,batch_5.npz,28
8501062,1,24.4021,149.474,12.5679,34.0,5.7,batch_5.npz,29
3836453,1,1.540391,131.9968,2.9564,212.0,118.9,batch_5.npz,30
7436215,1,25.58546721,177.07745,2.2763,47.0,1.6,batch_5.npz,31
8164257,1,16.85808,142.3461,2.0831,762.0,24.7,batch_5.npz,32
9532424,1,4.309101,134.7064,1.3928,126.0,13.1,batch_5.npz,33
6364276,1,5.243903,132.7021,9.083,166.0,23.8,batch_5.npz,34
7593110,1,3.54938827,134.24604,2.4529,55316.0,1109.4,batch_5.npz,35
5866099,1,36.977224,133.6226,5.9387,1272.0,158.9,batch_5.npz,36
7732285,1,4.390475,134.1307,3.1216,97.0,28.7,batch_5.npz,37
8672910,1,5.714834,134.8854,2.1752,253.0,9.8,batch_5.npz,38
9730163,1,2.984151,133.1194,1.499,5045.0,29.9,batch_5.npz,39
5357470,1,2.17259,133.0023,1.1995,423.0,48.1,batch_5.npz,40
9851271,1,8.480565,135.8403,5.4197,622.0,64.5,batch_5.npz,41
9210823,1,0.82820711,135.72095,1.9009,431.0,227.9,batch_5.npz,42
8435247,1,0.6961197,354.7755,6.7761,11563.0,211.6,batch_5.npz,43
8582291,1,2.468158,132.0637,3.2294,194.0,26.2,batch_5.npz,44
7778437,1,5.0142325,133.17363,4.599,6361.0,1257.7,batch_5.npz,45
3858949,1,25.95241,154.8713,7.5878,753.0,46.1,batch_5.npz,46
6678383,1,23.66834,132.7129,5.7564,455.0,90.9,batch_5.npz,47
8223328,1,35.516213,165.92946,4.1617,6640.0,799.2,batch_5.npz,48
11298815,1,5.738641,136.9208,3.0001,586.0,38.6,batch_5.npz,49
9612825,1,2.8465115,133.2444,3.2926,3769.0,118.1,batch_6.npz,0
11304987,1,0.69269425,131.8038,1.014,1497.0,175.4,batch_6.npz,1
9823564,1,129.68366098,244.8914,7.8635,291.0,5.0,batch_6.npz,2
8161830,1,1.10118564,132.61692,5.2008,28.0,21.5,batch_6.npz,3
5649215,1,2.4467361,170.66896,3.2701,3338.0,371.3,batch_6.npz,4
12106929,1,5.937192,171.576,3.8512,415.0,74.0,batch_6.npz,5
6373680,1,2.8706539,133.6655,1.6313,519.0,33.8,batch_6.npz,6
6103377,1,20.07113,136.929,6.1047,350.0,11.0,batch_6.npz,7
6960913,1,59.87769,151.1868,5.0111,1404.0,58.7,batch_6.npz,8
12062667,1,2.929296,133.71726,4.8631,469.0,171.1,batch_6.npz,9
9635510,1,2.351943,131.9162,3.7476,235.0,29.1,batch_6.npz,10
6531491,1,14.324336,364.3847,3.5975,1737.0,67.9,batch_6.npz,11
7906739,1,7.014751,136.882,3.9404,127.0,32.0,batch_6.npz,12
8509361,1,6.099,135.5217,3.7324,216.0,40.5,batch_6.npz,13
10481045,1,2.037315,131.5763,3.8913,103.0,18.5,batch_6.npz,14
3230753,1,17.73347,143.9329,5.3197,243.0,18.7,batch_6.npz,15
6891637,1,1.7525397,132.7307,3.9936,873.0,49.3,batch_6.npz,16
5607631,1,20.56999,140.2406,3.2431,326.0,23.7,batch_6.npz,17
8227661,1,0.9268482,132.6817,1.5422,435.0,19.8,batch_6.npz,18
5894073,1,10.585338,136.9856,4.522,359.0,58.9,batch_6.npz,19
3345675,1,120.002521,250.14165,4.9958,29250.0,348.8,batch_6.npz,20
6891543,1,1.7525598,134.47439,3.9215,1010.0,232.9,batch_6.npz,21
5513893,1,0.7551023,131.8143,3.0218,52.0,36.5,batch_6.npz,22
6359320,1,8.1281,358.681,4.1479,251.0,16.6,batch_6.npz,23
5649325,1,195.6115,167.7465,21.097,1971.0,174.2,batch_6.npz,24
10092312,1,4.4684566,138.74087,1.1126,891.0,73.0,batch_6.npz,25
10661771,1,1.2313643,133.03586,5.2267,1244.0,273.9,batch_6.npz,26
7516809,1,0.24183915,131.87566,0.8538,208.0,36.7,batch_6.npz,27
7124026,1,15.74616,145.5247,12.6998,202.0,50.2,batch_6.npz,28
5529738,1,0.7597584,131.7976,3.3451,211.0,72.1,batch_6.npz,29
10718726,1,3.595736,170.3701,3.5351,364.0,51.2,batch_6.npz,30
4079535,1,17.727244,356.79524,3.8542,20006.0,617.7,batch_6.npz,31
8127586,1,16.60951,147.6059,3.4761,343.0,15.8,batch_6.npz,32
5270698,1,3.96433383,136.02879,4.7665,27638.0,2494.8,batch_6.npz,33
9205938,1,108.593,173.7518,8.0975,361.0,28.1,batch_6.npz,34
10275805,1,112.6437,183.0189,5.8504,1758.0,23.1,batch_6.npz,35
7708215,1,7.942631,174.5243,5.0292,2247.0,144.3,batch_6.npz,36
7380829,1,3.174582,132.2463,8.1865,291.0,68.7,batch_6.npz,37
5618071,1,88.7936,160.568,10.9445,442.0,15.8,batch_6.npz,38
3120276,1,10.26551,136.4956,3.6284,396.0,29.4,batch_6.npz,39
6350476,1,1.1105995,131.57177,1.3734,194.0,51.0,batch_6.npz,40
6525249,1,1.7103257,131.6044,2.639,398.0,32.1,batch_6.npz,41
6233890,1,2.9954151,132.7777,6.1241,493.0,170.6,batch_6.npz,42
10599397,1,0.937444,134.71852,1.9388,4971.0,157.2,batch_6.npz,43
11456382,1,0.81428192,131.64675,2.5121,199.0,123.7,batch_6.npz,44
3861611,1,3.849332,134.4351,2.2271,603.0,15.2,batch_6.npz,45
9030447,1,0.5666931,133.8109,2.3577,123.0,63.7,batch_6.npz,46
6956233,1,4.8188665,358.1629,5.1321,2794.0,187.0,batch_6.npz,47
3858804,1,25.95068,174.8787,13.1767,480.0,57.8,batch_6.npz,48
2581191,1,1.9904434,132.7074,2.9845,152.0,28.3,batch_6.npz,49
10230571,1,123.1149,172.263,17.2442,296.0,7.0,batch_7.npz,0
3657176,1,17.41654,141.1028,2.6936,380.0,14.8,batch_7.npz,1
